import time: self [us] | cumulative | imported package
import time:       613 |        613 |   _io
import time:       165 |        165 |   marshal
import time:      1045 |       1045 |   posix
import time:      1899 |       3721 | _frozen_importlib_external
import time:       242 |        242 |   time
import time:       642 |        884 | zipimport
import time:       127 |        127 |     _codecs
import time:      1326 |       1453 |   codecs
import time:       954 |        954 |   encodings.aliases
import time:      1218 |       3624 | encodings
import time:       521 |        521 | encodings.utf_8
import time:       330 |        330 | _signal
import time:       141 |        141 |     _abc
import time:       541 |        681 |   abc
import time:       656 |       1336 | io
import time:       162 |        162 |       _stat
import time:       332 |        494 |     stat
import time:      2164 |       2164 |     _collections_abc
import time:       197 |        197 |       errno
import time:       293 |        293 |       genericpath
import time:       474 |        963 |     posixpath
import time:      1343 |       4963 |   os
import time:       290 |        290 |   _sitebuiltins
import time:      1174 |       1174 |   encodings.utf_8_sig
import time:      1090 |       1090 |   _distutils_hack
import time:       136 |        136 |     apport_python_hook
import time:       332 |        467 |   sitecustomize
import time:      3002 |      10982 | site
import time:       467 |        467 | linecache
import time:       247 |        247 |   timm.version
import time:       330 |        330 |           itertools
import time:       370 |        370 |           keyword
import time:       152 |        152 |             _operator
import time:       658 |        810 |           operator
import time:       497 |        497 |           reprlib
import time:       734 |        734 |           _collections
import time:      1687 |       4425 |         collections
import time:       428 |        428 |         copyreg
import time:       169 |        169 |           _functools
import time:      1090 |       1258 |         functools
import time:       489 |        489 |         types
import time:       141 |        141 |         _typing
import time:      4611 |      11349 |       typing
import time:       570 |        570 |           _ctypes
import time:       138 |        138 |             _struct
import time:       291 |        429 |           struct
import time:       599 |        599 |           ctypes._endian
import time:      1656 |       3253 |         ctypes
import time:      1021 |       1021 |           contextlib
import time:      2068 |       2068 |             enum
import time:       585 |        585 |               _sre
import time:       433 |        433 |                 re._constants
import time:       697 |       1130 |               re._parser
import time:       159 |        159 |               re._casefix
import time:       805 |       2677 |             re._compiler
import time:       914 |       5658 |           re
import time:       268 |        268 |           fnmatch
import time:       938 |       7884 |         glob
import time:       230 |        230 |         importlib
import time:      1554 |       1554 |             _ast
import time:      1748 |       3302 |           ast
import time:        69 |         69 |               _opcode
import time:       299 |        299 |               _opcode_metadata
import time:       456 |        823 |             opcode
import time:      1308 |       2131 |           dis
import time:       121 |        121 |           importlib.machinery
import time:       194 |        194 |             token
import time:        73 |         73 |             _tokenize
import time:      1039 |       1305 |           tokenize
import time:       246 |        246 |             _weakrefset
import time:       579 |        825 |           weakref
import time:      3201 |      10881 |         inspect
import time:       120 |        120 |         math
import time:        90 |         90 |           _wmi
import time:       946 |       1036 |         platform
import time:      1199 |       1199 |         textwrap
import time:       502 |        502 |           warnings
import time:      1173 |       1674 |         threading
import time:       336 |        336 |           _socket
import time:      2729 |       3065 |         typing_extensions
import time:       297 |        297 |                 __future__
import time:       413 |        710 |               _colorize
import time:      1204 |       1913 |             traceback
import time:        57 |         57 |               _string
